Account,Url,Platform,Region,Owner,Avg Post Per week,Followers,
Grant Thornton Afghanistan,https://www.facebook.com/GrantThorntonAfghanistan/,Facebook,Asia Pacific,Afghanistan,0,72,
Grant Thornton Albania,https://www.facebook.com/Grant-Thornton-Albania-1818665721700351/,Facebook,Europe,Albania,0,301,
Grant Thornton Algérie,https://www.facebook.com/GrantThornton.dz/,Facebook,Africa,Algeria,0,1831,
Grant Thornton Antigua - Corporate Social Responsibility,https://www.facebook.com/pages/category/Accountant/Grant-Thornton-Antigua-Corporate-Social-Responsibility-470962333277696/,Facebook,Americas,Antigua,0,5,
Grant Thornton Argentina,https://www.facebook.com/GrantThorntonAR/,Facebook,Americas,Argentina,9,129,
Grant Thornton Armenia,https://www.facebook.com/Grant.Thornton.Armenia/,Facebook,CIS,Armenia,8,2557,
Grant Thornton in Aruba,https://www.facebook.com/GrantThorntoninAruba/,Facebook,Americas,Aruba,38,2757,
Grant Thornton in the Dutch Caribbean,https://www.facebook.com/GrantThorntonintheDutchCaribbean/,Facebook,Americas,Aruba, Bonaire, Curacao, St. Maarten, St. Eustatius and Saba,45,1822,
Grant Thornton Australia,https://www.facebook.com/GrantThorntonAustralia/,Facebook,Asia Pacific,Australia,5,3796,
Grant Thornton Austria,https://www.facebook.com/GrantThorntonAustria/,Facebook,Europe,Austria,4,59,
